dG,RFP/OD,GFP/OD,GFP/RFP
-14.90 ,1265.625,3429.6875,2.709876543
-14.90 ,2156.862745,4656.862745,2.159090909
-14.90 ,383.9285714,2500,6.511627907
-14.90 ,384.6153846,2213.675214,5.755555557
-14.90 ,464.6464646,2646.464646,5.695652173
-14.90 ,514.5631068,2834.951456,5.509433962
-14.90 ,3261.261261,5432.432432,1.665745856
-14.90 ,1435.643564,3544.554455,2.468965518
-14.90 ,366.0714286,2294.642857,6.268292682
-14.90 ,396.3963964,2198.198198,5.545454545
-14.90 ,1472.222222,3055.555556,2.075471699
-14.90 ,387.9310345,2336.206897,6.022222223
-14.90 ,1681.415929,3867.256637,2.3
-14.90 ,1758.928571,3875,2.203045686
-14.90 ,918.9189189,2774.774775,3.019607843
-14.90 ,2585.585586,4207.207207,1.6271777
-14.90 ,420.5607477,2439.252336,5.799999998
-14.90 ,412.8440367,2559.633028,6.200000001
-14.90 ,477.7777778,2544.444444,5.325581394
-14.90 ,1879.62963,4287.037037,2.280788177
-14.90 ,373.8317757,2345.794393,6.275000001
-14.90 ,787.2340426,5489.361702,6.972972972
-14.90 ,285.7142857,3129.87013,10.95454546
-14.90 ,1685.897436,4544.871795,2.69581749
-14.90 ,2357.142857,5285.714286,2.242424243
-14.90 ,3248.175182,6021.89781,1.853932584
-14.90 ,365.8536585,3634.146341,9.933333333
-14.90 ,322.3684211,3072.368421,9.530612243
-14.90 ,323.943662,3190.140845,9.847826086
-14.90 ,330.7086614,3425.19685,10.35714286
-14.90 ,6845.679012,9117.283951,1.331830478
-14.90 ,2278.145695,4589.403974,2.014534884
-14.90 ,328.5714286,3185.714286,9.695652174
-14.90 ,276.7295597,2792.45283,10.09090909
-14.90 ,3245.033113,5549.668874,1.710204081
-14.90 ,354.3307087,3433.070866,9.688888887
-14.90 ,3217.948718,6025.641026,1.87250996
-14.90 ,2766.233766,5032.467532,1.819248826
-14.90 ,1405.594406,3986.013986,2.835820895
-14.90 ,4903.030303,6090.909091,1.242274413
-14.90 ,315.4362416,2939.597315,9.319148935
-14.90 ,323.0769231,3200,9.904761904
-14.90 ,297.4683544,2740.506329,9.212765958
-14.90 ,2960.9375,5742.1875,1.939313984
-14.90 ,363.6363636,3520.661157,9.681818183
-14.90 ,3507.692308,5384.615385,1.535087719
-14.90 ,456.5217391,4543.478261,9.952380953
-14.90 ,1948.453608,5907.216495,3.031746032
-14.90 ,2468.75,6083.333333,2.464135021
-14.90 ,3228.26087,6608.695652,2.047138047
-14.90 ,410,4060,9.902439024
-14.90 ,519.6078431,4127.45098,7.943396226
-14.90 ,390,3810,9.769230769
-14.90 ,394.4954128,3788.990826,9.604651165
-14.90 ,6310.679612,8786.407767,1.392307692
-14.90 ,2309.278351,5391.752577,2.334821428
-14.90 ,386.7924528,3783.018868,9.780487806
-14.90 ,446.6019417,4000,8.95652174
-14.90 ,3098.214286,5830.357143,1.88184438
-14.90 ,435.6435644,3960.39604,9.090909091
-14.90 ,3323.529412,6656.862745,2.002949852
-14.90 ,2815.533981,5854.368932,2.079310345
-14.90 ,1475.728155,4766.990291,3.230263158
-14.90 ,4614.678899,6348.623853,1.375745527
-14.90 ,357.7981651,3697.247706,10.33333333
-14.90 ,405.9405941,3891.089109,9.585365853
-14.90 ,429.8245614,3710.526316,8.632653062
-14.90 ,3274.509804,6686.27451,2.041916168
-14.90 ,379.3103448,3750,9.886363637
-14.90 ,711.1111111,7933.333333,11.15625
-14.90 ,181.8181818,2900.4329,15.95238095
-14.90 ,1085.603113,4081.712062,3.75985663
-14.90 ,1665.454545,4567.272727,2.742358079
-14.90 ,2394.636015,5122.605364,2.1392
-14.90 ,145.8333333,2548.611111,17.47619048
-14.90 ,151.9434629,2561.837456,16.86046512
-14.90 ,149.6350365,2500,16.70731707
-14.90 ,135.7615894,2314.569536,17.04878049
-14.90 ,4739.864865,7304.054054,1.540983607
-14.90 ,1660.516605,4084.870849,2.46
-14.90 ,143.3566434,2440.559441,17.02439024
-14.90 ,150,2530,16.86666667
-14.90 ,2404.929577,4887.323944,2.032210835
-14.90 ,152.7777778,2454.861111,16.06818182
-14.90 ,2311.036789,5160.535117,2.232995659
-14.90 ,1964.052288,4349.673203,2.214642263
-14.90 ,1036.101083,3429.602888,3.31010453
-14.90 ,3274.760383,5083.067093,1.552195122
-14.90 ,142.8571429,2435.215947,17.04651162
-14.90 ,151.2915129,2568.265683,16.97560976
-14.90 ,142.394822,2504.854369,17.59090909
-14.90 ,2414.893617,5436.170213,2.251101322
-14.90 ,136.8078176,2456.026059,17.95238095
-14.90 ,8385.496183,16438.9313,1.960400546
-14.90 ,278.9699571,3184.549356,11.41538462
-14.90 ,2151.785714,6151.785714,2.858921162
-14.90 ,2218.446602,6446.601942,2.905908096
-14.90 ,288.209607,3283.842795,11.39393939
-14.90 ,215.5477032,2600.706714,12.06557377
-14.90 ,1677.595628,5333.333333,3.179153094
-14.90 ,286.3636364,3336.363636,11.65079365
-14.90 ,1577.981651,5348.623853,3.389534884
-14.90 ,1636.752137,5465.811966,3.339425587
-14.90 ,387.8787879,4400,11.34375
-14.90 ,307.3170732,3590.243902,11.68253968
0.00 ,2905.982906,3803.418803,1.308823529
0.00 ,1512.5,3183.333333,2.104683196
0.00 ,2029.787234,3493.617021,1.721174004
0.00 ,1680.672269,3063.02521,1.8225
0.00 ,1337.899543,3703.196347,2.767918089
0.00 ,4283.898305,3834.745763,0.895153314
0.00 ,2981.308411,4023.364486,1.349529781
0.00 ,3917.012448,3630.705394,0.92690678
0.00 ,2497.854077,3678.111588,1.472508591
0.00 ,2448.412698,3373.015873,1.377633712
0.00 ,3577.092511,3757.709251,1.050492611
0.00 ,3545.112782,3406.015038,0.960763521
-10.00 ,5929.20354,7592.920354,1.280597015
-10.00 ,645.4545455,3613.636364,5.598591549
-10.00 ,3407.563025,5415.966387,1.589395808
-10.00 ,981.3953488,3920.930233,3.995260664
-10.00 ,1683.060109,4393.442623,2.61038961
-10.00 ,857.8947368,3973.684211,4.63190184
-10.00 ,2375.565611,4583.710407,1.92952381
-10.00 ,636.3636364,3978.609626,6.25210084
-10.00 ,758.6206897,3560.344828,4.693181818
-10.00 ,512.4378109,3606.965174,7.038834951
-10.00 ,1543.147208,4111.675127,2.664473684
-10.00 ,1403.508772,3649.122807,2.6
-10.00 ,6798.165138,8357.798165,1.229419703
-10.00 ,1778.761062,4097.345133,2.303482587
-10.00 ,410.2564103,3800,9.2625
-10.00 ,473.1182796,3741.935484,7.909090909
-10.00 ,588.5167464,3593.301435,6.105691057
-10.00 ,645.3488372,4122.093023,6.387387387
-10.00 ,3401.960784,5352.941176,1.573487032
-10.00 ,495.2830189,3613.207547,7.295238095
-10.00 ,606.4814815,3564.814815,5.877862595
-10.00 ,1061.22449,9326.530612,8.788461538
-10.00 ,529.7029703,3757.425743,7.093457944
-10.00 ,719.4570136,3330.316742,4.628930818
-6.00 ,582.9383886,3374.407583,5.788617886
-6.00 ,960.3524229,3691.629956,3.844036697
-6.00 ,735.9307359,3606.060606,4.9
-6.00 ,1155.251142,3652.968037,3.162055336
-6.00 ,617.1171171,3671.171171,5.948905109
-6.00 ,556.0747664,3602.803738,6.478991597
-6.00 ,492.5373134,3641.791045,7.393939394
-6.00 ,861.878453,4132.596685,4.794871795
-6.00 ,1375.690608,4524.861878,3.289156627
-6.00 ,909.0909091,8127.272727,8.94
-6.00 ,700,3478.26087,4.968944099
-6.00 ,390.2439024,3609.756098,9.25
-6.00 ,414.507772,3761.658031,9.075
-6.00 ,390,3670,9.41025641
-6.00 ,604.4444444,3653.333333,6.044117647
-6.00 ,807.0175439,3994.152047,4.949275362
-6.00 ,1021.390374,4213.903743,4.12565445
-6.00 ,754.6296296,3745.37037,4.963190184
-6.00 ,1024.271845,4077.669903,3.981042654
-6.00 ,654.3778802,3654.37788,5.584507042
-6.00 ,477.8325123,3758.62069,7.865979381
-6.00 ,657.3033708,4415.730337,6.717948718
-6.00 ,477.6119403,3711.442786,7.770833333
-6.00 ,705.8823529,3778.280543,5.352564103
